time,u10,v10,u100,v100
2024-01-01 00:00:00,-0.5246277,-3.664383,-0.6560974,-4.9540405
2024-01-01 01:00:00,-0.66459656,-3.3379974,-0.83843994,-4.472687
2024-01-01 02:00:00,-0.7367096,-3.1834412,-0.98521423,-4.2723083
2024-01-01 03:00:00,-0.4737091,-2.9740143,-0.5656128,-3.9380035
2024-01-01 04:00:00,-0.7207031,-2.9488525,-0.89035034,-3.9225922
2024-01-01 05:00:00,-2.0248413,-2.8232117,-2.5496674,-3.9631042
2024-01-01 06:00:00,-2.7189484,-2.4805603,-3.5178528,-3.6014252
2024-01-01 07:00:00,-3.3162231,-2.1298218,-4.4878845,-3.2059937
2024-01-01 08:00:00,-3.5701141,-1.5557861,-5.1624603,-2.5224915
2024-01-01 09:00:00,-3.1696014,-0.7476196,-5.018585,-1.4275665
2024-01-01 10:00:00,-2.0624542,0.11276245,-3.725998,-0.33468628
2024-01-01 11:00:00,-1.863327,-0.09536743,-3.1095276,-0.45996094
2024-01-01 12:00:00,-1.5305023,-0.19406128,-2.721695,-0.4686737
2024-01-01 13:00:00,-1.3547974,-0.3719635,-2.281311,-0.79234314
2024-01-01 14:00:00,-1.3201752,-0.9425659,-2.0978546,-1.9311066
2024-01-01 15:00:00,-0.974411,-1.7762299,-1.4979706,-3.403839
2024-01-01 16:00:00,-0.09664917,-2.478119,0.08578491,-4.38562
2024-01-01 17:00:00,0.7992401,-2.3835297,1.6569366,-4.0558014
2024-01-01 18:00:00,1.0241394,-1.7198181,2.2967682,-3.3018951
2024-01-01 19:00:00,0.62872314,-1.3493958,2.0054626,-3.0054016
2024-01-01 20:00:00,0.42770386,-1.7131042,1.4276886,-3.0038757
2024-01-01 21:00:00,0.2774048,-1.7857056,0.5696869,-2.5087433
2024-01-01 22:00:00,0.68333435,-1.9116516,1.0510712,-2.5320892
2024-01-01 23:00:00,0.23631287,-1.6753845,0.4466858,-2.1599274
2024-01-02 00:00:00,-0.07533264,-1.5615845,-0.003540039,-2.0218353
2024-01-02 01:00:00,0.42977905,-1.7052917,0.75416565,-2.217331
2024-01-02 02:00:00,-0.1822052,-0.65390015,-0.032302856,-0.92507935
2024-01-02 03:00:00,-0.9018097,-0.45457458,-1.0519257,-0.6072693
2024-01-02 04:00:00,-1.7976532,-1.5386505,-2.386963,-2.263794
2024-01-02 05:00:00,-2.54245,-2.2344208,-3.5513916,-3.2084045
2024-01-02 06:00:00,-1.7397003,-1.8525543,-2.4517975,-2.8497467
2024-01-02 07:00:00,-1.7640839,-1.2308502,-2.4549255,-1.7363434
2024-01-02 08:00:00,-1.454422,-1.4426117,-2.3185272,-2.3240967
2024-01-02 09:00:00,-1.4931641,-1.2814636,-2.275772,-2.2106018
2024-01-02 10:00:00,-1.2645874,-1.9660492,-2.507141,-3.625183
2024-01-02 11:00:00,-0.79299927,-2.6641998,-1.622467,-4.9643555
2024-01-02 12:00:00,-0.33750916,-2.6919098,-0.49093628,-5.23967
2024-01-02 13:00:00,-0.18486023,-2.84758,-0.001449585,-5.5584106
2024-01-02 14:00:00,-0.24040222,-2.9129639,-0.12586975,-5.6934357
